;date;Italy;US;Spain;India;Brazil
151;2020-06-21;238499;2281767;246272;425282;1083341
152;2020-06-22;238720;2312303;246504;440215;1106470
153;2020-06-23;238833;2347491;246752;456183;1145906
154;2020-06-24;239410;2382426;247086;473105;1188631
155;2020-06-25;239706;2422299;247486;490401;1228114
156;2020-06-26;239961;2467554;247905;508953;1274974
157;2020-06-27;240136;2510259;248469;528859;1313667
158;2020-06-28;240310;2549864;248770;548318;1344143
159;2020-06-29;240436;2590668;248970;566840;1368195
160;2020-06-30;240578;2636414;249271;585481;1402041
161;2020-07-01;240760;2687588;249659;604641;1448753
162;2020-07-02;240961;2742049;250103;625544;1496858
163;2020-07-03;241184;2795361;250545;648315;1539081
164;2020-07-04;241419;2841241;250545;673165;1577004
165;2020-07-05;241611;2891124;250545;697413;1603055
166;2020-07-06;241819;2936077;251789;719664;1623284
167;2020-07-07;241956;2996098;252130;742417;1668589
168;2020-07-08;242149;3054699;252513;767296;1713160
169;2020-07-09;242363;3117946;253056;793802;1755779
170;2020-07-10;242639;3185737;253908;820916;1800827
171;2020-07-11;242827;3245925;253908;849522;1839850
172;2020-07-12;243061;3304942;253908;878254;1864681
173;2020-07-13;243230;3364157;255953;906752;1884967
174;2020-07-14;243344;3431574;256619;936181;1926824
175;2020-07-15;243506;3498902;257494;968857;1966748
176;2020-07-16;243736;3576157;258855;1003832;2012151
177;2020-07-17;243967;3647715;260255;1039084;2046328
178;2020-07-18;244216;3711413;260255;1077781;2074860
179;2020-07-19;244434;3773260;260255;1118206;2098389
180;2020-07-20;244624;3834677;264836;1155338;2118646
181;2020-07-21;244752;3899211;266194;1193078;2159654
182;2020-07-22;245032;3970121;267551;1238798;2227514
183;2020-07-23;245338;4038816;270166;1288108;2287475
184;2020-07-24;245590;4112531;272421;1337024;2343366
185;2020-07-25;245864;4178970;272421;1385635;2394513
186;2020-07-26;246118;4233923;272421;1435616;2419091
187;2020-07-27;246286;4290337;278782;1480073;2442375
188;2020-07-28;246488;4356206;280610;1531669;2483191
189;2020-07-29;246776;4426982;282641;1581963;2552265
190;2020-07-30;247158;4495015;285430;1634746;2610102
191;2020-07-31;247537;4562107;288522;1695988;2662485
192;2020-08-01;247832;4620592;288522;1750723;2707877
193;2020-08-02;248070;4668172;288522;1803695;2733677
194;2020-08-03;248229;4713540;297054;1855745;2750318
195;2020-08-04;248419;4771080;302814;1908254;2801921
196;2020-08-05;248803;4823890;305767;1964536;2859073
197;2020-08-06;249204;4883582;309855;2027074;2912212
198;2020-08-07;249756;4941755;314362;2088611;2962442
199;2020-08-08;250103;4997929;314362;2153010;3012412
200;2020-08-09;250566;5044864;314362;2215074;3035422
201;2020-08-10;250825;5094400;322980;2268675;3057470
202;2020-08-11;251237;5141208;326612;2329638;3109630
203;2020-08-12;251713;5197411;329784;2396637;3164785
204;2020-08-13;252235;5248958;337334;2461190;3224876
205;2020-08-14;252809;5313252;342813;2525922;3275520
206;2020-08-15;253438;5361165;342813;2589952;3317096
207;2020-08-16;253915;5403213;342813;2647663;3340197
208;2020-08-17;254235;5438325;359082;2702681;3359570
209;2020-08-18;254636;5483388;364196;2767253;3407354
210;2020-08-19;255278;5529824;370867;2836925;3456652
211;2020-08-20;256118;5573847;377906;2905825;3501975
212;2020-08-21;257065;5622470;386054;2975701;3532330
213;2020-08-22;258136;5667070;386054;3044940;3582362
214;2020-08-23;259345;5701645;386054;3106348;3605783
215;2020-08-24;260298;5739536;405436;3167323;3622861
216;2020-08-25;261174;5777710;412553;3224547;3669995
217;2020-08-26;262540;5821819;419849;3310234;3717156
218;2020-08-27;263949;5867785;429507;3387500;3761391
219;2020-08-28;265409;5913941;439286;3463972;3804803
220;2020-08-29;266853;5961094;439286;3542733;3846153
221;2020-08-30;268218;5996431;439286;3621245;3862311
222;2020-08-31;269214;6030587;462858;3691166;3908272
223;2020-09-01;270189;6073840;470973;3769523;3950931
224;2020-09-02;271515;6113510;479554;3853406;3997865
225;2020-09-03;272912;6150016;488513;3936747;4041638
226;2020-09-04;274644;6200518;498989;4023179;4091801
